Diameter (µm)	q (%)	Undersize (%)
0.011	0.000	0.000
0.013	0.000	0.000
0.015	0.000	0.000
0.017	0.000	0.000
0.020	0.000	0.000
0.023	0.000	0.000
0.026	0.000	0.000
0.030	0.000	0.000
0.034	0.000	0.000
0.039	0.000	0.000
0.044	0.000	0.000
0.051	0.000	0.000
0.058	0.000	0.000
0.067	0.000	0.000
0.076	0.000	0.000
0.087	0.000	0.000
0.100	0.000	0.000
0.115	0.000	0.000
0.131	0.000	0.000
0.150	0.000	0.000
0.172	0.000	0.000
0.197	0.000	0.000
0.226	0.000	0.000
0.259	0.000	0.000
0.296	0.000	0.000
0.339	0.000	0.000
0.389	0.000	0.000
0.445	0.000	0.000
0.510	0.000	0.000
0.584	0.000	0.000
0.669	0.000	0.000
0.766	4.229	4.229
0.877	9.021	13.250
1.005	13.127	26.377
1.151	13.338	39.715
1.318	12.319	52.033
1.510	10.632	62.666
1.729	9.122	71.788
1.981	7.518	79.306
2.269	5.890	85.195
2.599	4.419	89.614
2.976	3.204	92.818
3.409	2.267	95.085
3.905	1.582	96.667
4.472	1.098	97.764
5.122	0.763	98.527
5.867	0.532	99.059
6.720	0.373	99.432
7.697	0.261	99.693
8.816	0.182	99.875
10.097	0.125	100.000
11.565	0.000	100.000
13.246	0.000	100.000
15.172	0.000	100.000
17.377	0.000	100.000
19.904	0.000	100.000
22.797	0.000	100.000
26.111	0.000	100.000
29.907	0.000	100.000
34.255	0.000	100.000
39.234	0.000	100.000
44.938	0.000	100.000
51.471	0.000	100.000
58.953	0.000	100.000
67.523	0.000	100.000
77.340	0.000	100.000
88.583	0.000	100.000
101.460	0.000	100.000
116.210	0.000	100.000
133.103	0.000	100.000
152.453	0.000	100.000
174.616	0.000	100.000
200.000	0.000	100.000
229.075	0.000	100.000
262.376	0.000	100.000
300.518	0.000	100.000
344.206	0.000	100.000
394.244	0.000	100.000
451.556	0.000	100.000
517.200	0.000	100.000
592.387	0.000	100.000
678.504	0.000	100.000
777.141	0.000	100.000
890.116	0.000	100.000
1019.515	0.000	100.000
1167.725	0.000	100.000
1337.481	0.000	100.000
1531.914	0.000	100.000
1754.613	0.000	100.000
2009.687	0.000	100.000
2301.841	0.000	100.000
2636.467	0.000	100.000
3019.738	0.000	100.000
3458.727	0.000	100.000
3961.533	0.000	100.000
4537.433	0.000	100.000
5000.000	0.000	100.000

 
